Name,Quantity,Component
"SW1",1," DIP Switch SPST x 4"
"U1",1," Hex Inverter"
"Bat1",1,"3 batteries, AA, no 1.5V Battery"
"U2",1," Quad AND gate"
"U3",1," Quad OR gate"
"R1, R2, R3",3,"220 Ω Resistor"
"D1",1,"Green LED"
